imdb_id,region
tt0008350,United States of America
tt0008359,France
tt0008366,United States of America
tt0008371,France
tt0008374,Hungary
tt0008376,Mexico
tt0008379,United States of America
tt0008381,United States of America
tt0008391,United States of America
tt0008394,Germany
tt0008406,United States of America
tt0008411,United States of America
tt0008416,Denmark
tt0008417,United States of America
tt0008431,Germany
tt0008435,United States of America
tt0008439,United States of America
tt0008441,United States of America
tt0008442,United States of America
tt0008443,United States of America
tt0008444,United States of America
tt0008447,Portugal
tt0008449,United States of America
tt0008454,United States of America
tt0008460,United States of America
tt0008462,United States of America
tt0008473,Russia
tt0008475,United States of America
tt0008490,United States of America
tt0008491,United States of America
tt0008498,United States of America
tt0008499,United States of America
tt0008504,United States of America
tt0008508,United States of America
tt0008510,Sweden
tt0008512,United States of America
tt0008519,United States of America
tt0008521,United States of America
tt0008533,United States of America
tt0008536,Russia
tt0008538,United States of America
tt0008539,United States of America
tt0008540,United States of America
tt0008541,United States of America
tt0008550,United States of America
tt0008551,United States of America
tt0008554,United States of America
tt0008561,United States of America
tt0008569,United States of America
tt0008571,United States of America
tt0008572,United States of America
tt0008577,United States of America
tt0008579,United States of America
tt0008608,United States of America
tt0008610,United States of America
tt0008613,Mexico
tt0008617,Germany
tt0008619,Germany
tt0008621,United States of America
tt0008623,United States of America
tt0008629,United States of America
tt0008634,United States of America
tt0008652,United States of America
tt0008662,Mexico
tt0008663,Sweden
tt0008666,United States of America
tt0008672,Sweden
tt0008678,Mexico
tt0008679,United States of America
tt0008694,United States of America
tt0008697,Mexico
tt0008698,United States of America
tt0008706,United States of America
tt0008710,Sweden
tt0008716,United States of America
tt0008723,United States of America
tt0008735,United States of America
tt0008754,United States of America
tt0008775,United States of America
tt0008777,United States of America
tt0008785,United States of America
tt0008786,United States of America
tt0008797,United States of America
tt0008803,France
tt0008817,United States of America
tt0008821,United States of America
tt0008822,United States of America
tt0008823,United States of America
tt0008825,Germany
tt0008826,Hungary
tt0008827,United States of America
tt0008836,Hungary
tt0008843,Hungary
tt0008845,United States of America
tt0008854,Germany
tt0008861,United States of America
tt0008869,United States of America
tt0008876,United States of America
tt0008879,Sweden
tt0008883,United States of America
tt0008888,Germany
tt0008891,United States of America
tt0008915,United States of America
tt0008917,United States of America
tt0008918,United States of America
tt0008923,United States of America
tt0008927,United States of America
tt0008931,United States of America
tt0008943,United States of America
tt0008950,Germany
tt0008951,United States of America
tt0008952,Hungary
tt0008955,United States of America
tt0008964,United States of America
tt0008978,United States of America
tt0008982,Hungary
tt0008990,United States of America
tt0008993,United States of America
tt0008998,United States of America
tt0008999,United States of America
tt0009001,United States of America
tt0009007,United States of America
tt0009011,Germany
tt0009014,France
tt0009026,United States of America
tt0009029,United States of America
tt0009030,United States of America
tt0009036,United States of America
tt0009038,Germany
tt0009042,United States of America
tt0009047,United States of America
tt0009048,United States of America
tt0009050,United States of America
tt0009051,Germany
tt0009065,United States of America
tt0009079,United States of America
tt0009084,United States of America
tt0009086,United States of America
tt0009092,Germany
tt0009096,Sweden
tt0009103,United States of America
tt0009104,United States of America
tt0009106,United States of America
tt0009109,United States of America
tt0009120,United States of America
tt0009124,United States of America
tt0009128,United States of America
tt0009130,United States of America
tt0009133,United States of America
tt0009137,United States of America
tt0009142,United States of America
tt0009143,United States of America
tt0009150,United States of America
tt0009153,United States of America
tt0009154,United States of America
tt0009158,Germany
tt0009159,United States of America
tt0009166,United States of America
tt0009173,United States of America
tt0009193,Portugal
tt0009196,United States of America
tt0009204,United States of America
tt0009210,United States of America
tt0009236,United States of America
tt0009237,United States of America
tt0009241,United States of America
tt0009249,United States of America
tt0009253,Germany
tt0009273,United States of America
tt0009274,United States of America
tt0009275,United States of America
tt0009279,United States of America
tt0009289,United States of America
tt0009290,United States of America
tt0009296,Germany
tt0009306,United States of America
tt0009320,United States of America
tt0009325,United States of America
tt0009326,United States of America
tt0009328,United States of America
tt0009331,United States of America
tt0009333,United States of America
tt0009356,United States of America
tt0009359,United Kingdom
tt0009369,United States of America
tt0009376,United States of America
tt0009380,Russia
tt0009383,United States of America
tt0009393,United States of America
tt0009395,United States of America
tt0009397,United States of America
tt0009400,United States of America
tt0009401,United States of America
tt0009415,Germany
tt0009416,Sweden
tt0009420,Sweden
tt0009425,United Kingdom
tt0009426,United States of America
tt0009431,Sweden
tt0009440,United States of America
tt0009450,United States of America
tt0009454,United States of America
tt0009480,United Kingdom
tt0009482,United States of America
tt0009485,United States of America
tt0009486,United States of America
tt0009490,Russia
tt0009490,Soviet Union
tt0009494,United States of America
tt0009504,United States of America
tt0009515,Germany
tt0009523,United States of America
tt0009527,United States of America
tt0009529,Germany
tt0009530,United States of America
tt0009543,United States of America
tt0009546,Norway
tt0009548,United States of America
tt0009551,United States of America
tt0009552,United States of America
